timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1544248670874,2612,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-1,,true,,108243,472,12,12,null,2611,0,1
1544248671792,2399,View map,200,OK,ThreadGroup 1-9,text,true,,179272,472,13,13,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.53%2C+54.14%2C+27.83%29,2368,0,0
1544248671791,2399,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-9,,true,,179272,472,13,13,null,2368,1,0
1544248672293,2366,View map,200,OK,ThreadGroup 1-10,text,true,,2390,472,14,14,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.53%2C+54.25%2C+27.83%29,2345,0,1
1544248672292,2366,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-10,,true,,2390,472,14,14,null,2345,1,1
1544248671942,2785,View map,200,OK,ThreadGroup 1-4,text,true,,36378,472,14,14,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.53%2C+54.23%2C+27.83%29,2783,0,1
1544248671942,2785,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-4,,true,,36378,472,14,14,null,2783,0,1
1544248671939,2790,View map,200,OK,ThreadGroup 1-6,text,true,,134055,472,14,14,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.53%2C+54.17%2C+27.83%29,2789,0,1
1544248671939,2790,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-6,,true,,134055,472,14,14,null,2789,1,1
1544248671941,2789,View map,200,OK,ThreadGroup 1-5,text,true,,85966,472,14,14,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.53%2C+54.20%2C+27.83%29,2788,0,0
1544248671940,2789,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-5,,true,,85966,472,14,14,null,2788,1,0
1544248673417,2279,View map,200,OK,ThreadGroup 1-8,text,true,,2038,472,16,16,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.56%2C+54.25%2C+27.86%29,2238,0,1
1544248673417,2279,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-8,,true,,2038,472,16,16,null,2238,1,1
1544248673293,2509,View map,200,OK,ThreadGroup 1-12,text,true,,28594,472,17,17,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.56%2C+54.23%2C+27.86%29,2466,0,1
1544248673292,2509,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-12,,true,,28594,472,17,17,null,2466,1,1
1544248672792,3055,View map,200,OK,ThreadGroup 1-11,text,true,,143537,472,17,17,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.56%2C+54.14%2C+27.86%29,3041,0,1
1544248672792,3055,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-11,,true,,143537,472,17,17,null,3041,0,1
1544248673092,2761,View map,200,OK,ThreadGroup 1-7,text,true,,66821,472,17,17,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.56%2C+54.20%2C+27.86%29,2759,0,1
1544248673092,2761,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-7,,true,,66821,472,17,17,null,2759,1,1
1544248672810,3054,View map,200,OK,ThreadGroup 1-3,text,true,,106793,472,17,17,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.56%2C+54.17%2C+27.86%29,3043,0,2
1544248672809,3054,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-3,,true,,106793,472,17,17,null,3043,1,2
1544248674193,2539,View map,200,OK,ThreadGroup 1-9,text,true,,20090,472,18,18,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.59%2C+54.23%2C+27.89%29,2517,0,1
1544248674192,2539,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-9,,true,,20090,472,18,18,null,2517,1,1
1544248673446,3301,View map,200,OK,ThreadGroup 1-2,text,true,,101154,472,18,18,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.59%2C+54.14%2C+27.89%29,3300,0,1
1544248673445,3301,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-2,,true,,101154,472,18,18,null,3300,2,1
1544248674294,2455,View map,200,OK,ThreadGroup 1-14,text,true,,1328,472,18,18,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.59%2C+54.25%2C+27.89%29,2454,0,1
1544248674293,2455,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-14,,true,,1328,472,18,18,null,2454,1,1
1544248673488,3263,View map,200,OK,ThreadGroup 1-1,text,true,,76072,472,18,18,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.59%2C+54.17%2C+27.89%29,3262,0,2
1544248673487,3263,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-1,,true,,76072,472,18,18,null,3262,2,2
1544248673794,2958,View map,200,OK,ThreadGroup 1-13,text,true,,47377,472,18,18,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.59%2C+54.20%2C+27.89%29,2957,0,0
1544248673793,2958,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-13,,true,,47377,472,18,18,null,2957,2,0
1544248674660,2792,View map,200,OK,ThreadGroup 1-10,text,true,,66067,472,20,20,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.62%2C+54.14%2C+27.92%29,2791,0,1
1544248674660,2792,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-10,,true,,66067,472,20,20,null,2791,0,1
1544248674732,2721,View map,200,OK,ThreadGroup 1-5,text,true,,13719,472,20,20,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.62%2C+54.23%2C+27.92%29,2720,0,0
1544248674732,2721,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-5,,true,,13719,472,20,20,null,2720,0,0
1544248674796,2658,View map,200,OK,ThreadGroup 1-15,text,true,,1328,472,20,20,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.62%2C+54.25%2C+27.92%29,2657,0,0
1544248674795,2658,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-15,,true,,1328,472,20,20,null,2657,2,0
1544248674731,2725,View map,200,OK,ThreadGroup 1-6,text,true,,32509,472,20,20,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.62%2C+54.20%2C+27.92%29,2724,0,1
1544248674731,2725,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-6,,true,,32509,472,20,20,null,2724,0,1
1544248674728,2729,View map,200,OK,ThreadGroup 1-4,text,true,,53033,472,20,20,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.62%2C+54.17%2C+27.92%29,2728,0,1
1544248674728,2729,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-4,,true,,53033,472,20,20,null,2728,0,1
1544248675298,2674,View map,200,OK,ThreadGroup 1-16,text,true,,27455,472,21,21,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.65%2C+54.14%2C+27.95%29,2672,0,1
1544248675297,2674,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-16,,true,,27455,472,21,21,null,2672,1,1
1544248675697,2277,View map,200,OK,ThreadGroup 1-8,text,true,,23956,472,21,21,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.65%2C+54.17%2C+27.95%29,2276,0,1
1544248675697,2277,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-8,,true,,23956,472,21,21,null,2276,0,1
1544248675797,2178,View map,200,OK,ThreadGroup 1-17,text,true,,14783,472,21,21,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.65%2C+54.20%2C+27.95%29,2177,0,1
1544248675796,2178,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-17,,true,,14783,472,21,21,null,2177,1,1
1544248675803,2174,View map,200,OK,ThreadGroup 1-12,text,true,,6646,472,21,21,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.65%2C+54.23%2C+27.95%29,2173,0,1
1544248675802,2174,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-12,,true,,6646,472,21,21,null,2173,1,1
1544248675849,2144,View map,200,OK,ThreadGroup 1-11,text,true,,628,472,21,21,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.65%2C+54.25%2C+27.95%29,2128,0,1
1544248675848,2144,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-11,,true,,628,472,21,21,null,2128,1,1
1544248675855,2470,View map,200,OK,ThreadGroup 1-7,text,true,,275,472,22,22,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.68%2C+54.14%2C+27.98%29,2470,0,1
1544248675854,2470,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-7,,true,,275,472,22,22,null,2470,2,1
1544248675865,2462,View map,200,OK,ThreadGroup 1-3,text,true,,275,472,22,22,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.68%2C+54.17%2C+27.98%29,2461,0,1
1544248675865,2462,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-3,,true,,275,472,22,22,null,2461,0,1
1544248676297,2033,View map,200,OK,ThreadGroup 1-18,text,true,,275,472,22,22,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.68%2C+54.20%2C+27.98%29,2032,0,1
1544248676296,2033,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-18,,true,,275,472,22,22,null,2032,1,1
1544248676733,1605,View map,200,OK,ThreadGroup 1-9,text,true,,275,472,22,22,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.68%2C+54.23%2C+27.98%29,1598,0,0
1544248676732,1605,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-9,,true,,275,472,22,22,null,1598,1,0
1544248676748,1649,View map,200,OK,ThreadGroup 1-2,text,true,,275,472,22,22,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.68%2C+54.25%2C+27.98%29,1648,0,1
1544248676748,1649,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-2,,true,,275,472,22,22,null,1648,0,1
1544248677298,1986,View map,200,OK,ThreadGroup 1-20,text,true,,4157,472,23,23,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.95%2C+27.44%2C+54.25%2C+27.74%29,1934,0,1
1544248677297,1986,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-20,,true,,4157,472,23,23,null,1934,1,1
1544248676797,2854,View map,200,OK,ThreadGroup 1-19,text,true,,61868,472,24,24,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.93%2C+27.44%2C+54.23%2C+27.74%29,2782,0,1
1544248676797,2854,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-19,,true,,61868,472,24,24,null,2782,1,1
1544248676753,3506,View map,200,OK,ThreadGroup 1-13,text,true,,141168,472,25,25,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.90%2C+27.44%2C+54.20%2C+27.74%29,3452,0,1
1544248676753,3506,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-13,,true,,141168,472,25,25,null,3452,4,1
1544248676751,3790,View map,200,OK,ThreadGroup 1-14,text,true,,312216,472,26,26,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.84%2C+27.44%2C+54.14%2C+27.74%29,3779,0,1
1544248676749,3790,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-14,,true,,312216,472,26,26,null,3779,2,1
1544248676753,3846,View map,200,OK,ThreadGroup 1-1,text,true,,233784,472,26,26,http://localhost:3000/events?date=2018-10-07&area=ST_MakeEnvelope%2853.87%2C+27.44%2C+54.17%2C+27.74%29,3844,0,1
1544248676752,3846,View map,200,"Number of samples in transaction : 1, number of failing samples : 0",ThreadGroup 1-1,,true,,233784,472,26,26,null,3844,1,1
